Intensity,Symmetry,Class
0.30477,-5.265313,5
0.231125,-0.94875,1
0.323449,-5.277938,5
0.137602,-0.675687,1
0.145088,-0.4515,1
0.124037,-0.45925,1
0.237838,-0.981563,1
0.173813,-3.884063,5
0.091367,-0.430437,1
0.134893,-0.252625,1
0.117559,-0.546625,1
0.06017,-0.679188,1
0.1531,-0.517875,1
0.180816,-3.34325,5
0.284627,-4.688625,5
0.368607,-5.206062,5
0.191131,-0.952937,1
0.313787,-4.869,5
0.272062,-5.821875,5
0.374117,-4.825188,5
0.21593,-0.677687,1
0.359867,-5.092313,5
0.137434,-0.297875,1
0.314104,-5.356312,5
0.37716,-5.535812,5
0.19616,-0.874938,1
0.386082,-5.83775,5
0.177643,-3.615625,5
0.235945,-4.283437,5
0.107367,-0.22725,1
0.12209,-0.313937,1
0.093611,-0.458625,1
0.143857,-0.716375,1
0.157541,-0.306688,1
0.191934,-1.929375,1
0.232979,-3.466813,5
0.11692,-0.520687,1
0.339861,-5.56675,5
0.343705,-6.613313,5
0.289775,-5.54325,5
0.165318,-0.9685,1
0.185457,-3.285062,5
0.195102,-0.556312,1
0.177506,-0.406875,1
0.266049,-5.25375,5
0.141191,-0.419438,1
0.147553,-0.888,1
0.129934,-1.412313,1
0.114721,-0.714938,1
0.312895,-4.549,5
0.117715,-0.616875,1
0.208465,-0.99375,1
0.094764,-0.387625,1
0.103037,-0.836812,1
0.095127,-1.075937,1
0.091969,-0.314188,1
0.151254,-0.55175,1
0.247908,-4.105062,5
0.177104,-0.527062,1
0.135301,-0.444875,1
0.134721,-0.775875,1
0.203691,-1.43725,1
0.117168,-0.513625,1
0.271693,-5.148125,5
0.134242,-0.500062,1
0.141602,-0.598938,1
0.244793,-1.219437,1
0.2081,-0.483625,1
0.209145,-0.481812,1
0.4019,-4.006188,5
0.415193,-4.189625,5
0.320148,-4.688375,5
0.187645,-3.587438,5
0.101482,-0.4575,1
0.09159,-0.561438,1
0.116701,-0.622625,1
0.127123,-0.691438,1
0.300725,-5.297313,5
0.246574,-5.283375,5
0.130014,-0.53625,1
0.192039,-0.745625,1
0.135715,-1.055313,1
0.204793,-4.526937,5
0.083164,-0.5235,1
0.316094,-4.556375,5
0.16033,-0.694875,1
0.160832,-0.851938,1
0.139072,-0.529875,1
0.236674,-3.728063,5
0.189557,-0.838313,1
0.103754,-0.212,1
0.201656,-0.882687,1
0.165342,-1.166875,1
0.147797,-0.920438,1
0.271313,-4.044313,5
0.380893,-4.979063,5
0.139037,-0.868563,1
0.126268,-0.246375,1
0.186219,-1.083937,1
0.181965,-0.68075,1
0.219119,-0.590625,1
0.164937,-0.479938,1
0.378029,-5.445875,5
0.148723,-0.407125,1
0.160465,-0.79175,1
0.221469,-4.413,5
0.229379,-0.679375,1
0.155633,-3.469125,5
0.184676,-2.040125,1
0.391916,-5.2935,5
0.166275,-0.592437,1
0.377209,-5.546563,5
0.283877,-4.870687,5
0.284875,-5.496625,5
0.124967,-0.989125,1
0.1566,-3.070875,5
0.092254,-1.298687,1
0.144178,-0.458875,1
0.33624,-6.860125,5
0.161643,-0.368312,1
0.162635,-0.357312,1
0.244941,-4.114438,5
0.275187,-4.605562,5
0.257389,-4.4885,5
0.092449,-1.347938,1
0.267391,-5.071813,5
0.31599,-4.90325,5
0.155598,-0.45925,1
0.283148,-4.734,5
0.31409,-5.223937,5
0.191828,-1.367188,1
0.348102,-5.091938,5
0.221137,-3.890938,5
0.242693,-4.49325,5
0.112621,-0.827688,1
0.3914,-5.298563,5
0.183502,-2.192312,1
0.207619,-1.452937,1
0.137592,-0.390188,1
0.401232,-5.455563,5
0.331547,-4.836313,5
0.35174,-4.682875,5
0.219656,-4.056438,5
0.309156,-4.5255,5
0.37859,-6.086812,5
0.250164,-5.028937,5
0.210811,-3.784438,5
0.117488,-0.4265,1
0.156633,-3.299937,5
0.115699,-0.68975,1
0.285957,-5.377562,5
0.135303,-0.431188,1
0.098895,-0.369063,1
0.162943,-0.344,1
0.217904,-4.731312,5
0.195266,-3.679375,5
0.104102,-0.166187,1
0.256055,-4.37625,5
0.35901,-5.2805,5
0.333172,-4.68725,5
0.367646,-5.150313,5
0.175266,-0.863125,1
0.130309,-0.74725,1
0.138047,-0.4255,1
0.165979,-0.810562,1
0.102484,-0.765437,1
0.232029,-1.118875,1
0.226447,-1.011625,1
0.227889,-3.760438,5
0.181295,-0.608375,1
0.146318,-0.433812,1
0.169988,-1.135563,1
0.133883,-0.929875,1
0.126107,-0.953125,1
0.249939,-5.537312,5
0.183334,-3.381,5
0.116439,-0.48,1
0.190734,-4.407312,5
0.366613,-6.022,5
0.213234,-0.878375,1
0.163041,-0.649687,1
0.29732,-4.539187,5
0.141494,-0.619625,1
0.1319,-0.535,1
0.3696,-5.962313,5
0.344383,-4.893,5
0.204064,-1.270563,1
0.1716,-0.75375,1
0.244904,-4.355937,5
0.393984,-5.702063,5
0.131127,-0.686813,1
0.147143,-0.463438,1
0.335891,-4.523688,5
0.202805,-1.346875,1
0.125246,-0.281875,1
0.201439,-0.727875,1
0.129555,-1.123563,1
0.090236,-0.597437,1
0.141891,-0.646437,1
0.150529,-1.282312,1
0.161641,-0.879,1
0.358895,-4.495188,5
0.21767,-0.907375,1
0.252848,-1.558688,1
0.120361,-1.40125,1
0.173729,-0.384188,1
0.306514,-4.627063,5
0.273129,-4.099812,5
0.131166,-0.756125,1
0.285898,-4.487813,5
0.171254,-3.140188,5
0.372865,-4.83775,5
0.119629,-0.480563,1
0.159008,-0.561312,1
0.230957,-0.5875,1
0.260359,-1.318125,1
0.19901,-1.120437,1
0.142355,-0.543937,1
0.265336,-4.871,5
0.246246,-5.011375,5
0.26099,-5.027812,5
0.273234,-4.415438,5
0.21907,-3.182313,5
0.323719,-4.4525,5
0.197033,-1.14525,1
0.116396,-1.314625,1
0.09473,-0.640625,1
0.201863,-1.270938,1
0.139984,-0.4235,1
0.143805,-0.87225,1
0.104846,-0.404,1
0.101656,-0.324625,1
0.222799,-4.62925,5
0.163057,-0.815063,1
0.2826,-4.61725,5
0.212824,-4.698,5
0.077264,-1.0995,1
0.298686,-5.44775,5
0.173055,-1.503313,1
0.31258,-5.577875,5
0.14127,-0.595187,1
0.135721,-0.469438,1
0.081717,-0.568063,1
0.08966,-0.3435,1
0.235445,-5.3535,5
0.267764,-4.018562,5
0.140043,-0.4045,1
0.290391,-4.55775,5
0.110889,-0.546063,1
0.180559,-0.52275,1
0.122008,-0.449188,1
0.117412,-0.589875,1
0.113748,-0.61875,1
0.311238,-5.179625,5
0.109094,-1.11075,1
0.112281,-0.635,1
0.307766,-5.993188,5
0.15175,-2.97025,5
0.330396,-5.4395,5
0.150363,-0.510563,1
0.159424,-1.058812,1
0.351748,-4.259375,5
0.075422,-0.745375,1
0.28732,-5.3385,5
0.123334,-0.831438,1
0.276092,-4.324,5
0.3999,-5.528187,5
0.176191,-1.071875,1
0.117416,-0.730812,1
0.214643,-4.624437,5
0.156266,-1.477,1
0.242141,-4.503813,5
0.12882,-0.76225,1
0.135197,-0.394688,1
0.435916,-5.860375,5
0.299871,-4.488562,5
0.133605,-0.493437,1
0.359184,-5.193688,5
0.303844,-4.66825,5
0.12142,-0.191312,1
0.37999,-5.022125,5
0.260129,-0.84825,1
0.21193,-0.636062,1
0.18277,-0.629188,1
0.343434,-4.500875,5
0.355701,-4.876313,5
0.156865,-1.129188,1
0.082172,-0.555312,1
0.099912,-0.228187,1
0.091969,-0.316688,1
0.117908,-0.281875,1
0.104852,-0.66725,1
0.188008,-3.768125,5
0.238836,-4.293125,5
0.120467,-0.589812,1
0.138502,-0.655,1
0.108668,-0.502812,1
0.098342,-0.499875,1
0.105316,-0.38825,1
0.110307,-0.315125,1
0.238883,-5.203,5
0.137,-0.655188,1
0.131518,-0.814937,1
0.098625,-0.769062,1
0.459975,-6.292187,5
0.176662,-0.451375,1
0.211395,-0.498375,1
0.171889,-0.957063,1
0.323984,-5.519,5
0.128031,-1.108625,1
0.201379,-0.74275,1
0.101318,-0.49875,1
0.244072,-4.229,5
0.128689,-0.790813,1
0.24999,-4.23425,5
0.1595,-0.8375,1
0.102488,-0.332125,1
0.200684,-0.578438,1
0.09498,-0.3855,1
0.268637,-3.92925,5
0.336156,-4.82075,5
0.376713,-4.903062,5
0.350582,-5.518438,5
0.156621,-3.363625,5
0.243879,-4.462125,5
0.254221,-4.6595,5
0.144107,-0.680875,1
0.2376,-3.883125,5
0.153354,-3.181437,5
0.316178,-5.575875,5
0.333939,-5.0185,5
0.184084,-1.84125,1
0.094045,-0.454813,1
0.089604,-0.288313,1
0.158568,-0.29775,1
0.125123,-0.399,1
0.128414,-0.606875,1
0.27376,-5.039688,5
0.100893,-0.755375,1
0.450307,-4.510937,5
0.190807,-0.4435,1
0.292705,-5.25575,5
0.320264,-6.103187,5
0.304994,-5.637437,5
0.31149,-4.888,5
0.16868,-0.648813,1
0.082209,-0.771687,1
0.293322,-5.539937,5
0.30049,-4.778062,5
0.200551,-4.036937,5
0.104236,-0.651312,1
0.106826,-0.819125,1
0.125273,-0.50725,1
0.187002,-3.6405,5
0.123232,-0.380125,1
0.313832,-5.590375,5
0.402389,-4.428813,5
0.333674,-4.751375,5
0.20983,-0.48175,1
0.230145,-0.857062,1
0.163041,-0.767938,1
0.136469,-0.7035,1
0.173123,-0.571875,1
0.206006,-0.787438,1
0.195619,-0.839063,1
0.12008,-0.25775,1
0.315596,-4.250125,5
0.101512,-0.265813,1
0.207342,-3.732875,5
0.294195,-5.00075,5
0.258842,-4.531875,5
0.087686,-0.453188,1
0.182424,-0.55425,1
0.372916,-5.604,5
0.156057,-3.384812,5
0.090516,-0.363938,1
0.140779,-0.681937,1
0.219727,-4.0135,5
0.304447,-5.153437,5
0.203762,-0.978,1
0.399447,-5.077438,5
0.131367,-0.856563,1
0.220613,-3.57275,5
0.231559,-4.342375,5
0.175877,-3.618438,5
0.12409,-0.189,1
0.394527,-5.0855,5
0.095197,-0.348687,1
0.1214,-1.143,1
0.218938,-4.798063,5
0.236672,-4.167375,5
0.09409,-0.35575,1
0.099154,-0.773875,1
0.252461,-4.52725,5
0.314547,-4.991812,5
0.216754,-1.077312,1
0.364139,-6.399438,5
0.143189,-0.675125,1
0.224684,-4.276688,5
0.246391,-4.836125,5
0.113879,-0.82475,1
0.10407,-2.424125,5
0.106873,-0.574,1
0.310277,-5.610688,5
0.149305,-0.344,1
0.109861,-1.25375,1
0.122545,-0.532438,1
0.113672,-0.207563,1
0.127258,-0.939312,1
0.143402,-0.458062,1
0.119688,-0.91925,1
0.137445,-0.364563,1
0.196281,-0.912687,1
0.123693,-0.511125,1
0.18658,-1.3195,1
0.214275,-0.726562,1
0.384441,-4.484,5
0.378078,-5.0475,5
0.088018,-0.839125,1
0.258252,-4.705063,5
0.180049,-0.660875,1
0.086688,-0.53075,1
0.170121,-0.979437,1
0.299336,-5.272188,5
0.287832,-5.12625,5
0.244992,-4.573,5
0.076008,-0.794375,1
0.110252,-0.245875,1
0.430646,-5.984938,5
0.3091,-4.58375,5
0.211066,-1.430438,1
0.290623,-5.064063,5
0.328217,-6.19075,5
0.398666,-5.468063,5
0.123066,-0.373312,1
0.231025,-0.31325,1
0.155992,-0.976125,1
0.292035,-4.907188,5
0.211236,-4.2875,5
0.244984,-4.217875,5
0.456631,-6.110062,5
0.240316,-4.144875,5
0.180053,-0.597688,1
0.236303,-1.046437,1
0.205242,-0.721313,1
0.349436,-4.5045,5
0.14083,-0.521,1
0.250453,-5.030375,5
0.102666,-0.303063,1
0.120066,-0.259062,1
0.366217,-5.542688,5
0.162953,-0.648,1
0.16965,-0.768625,1
0.277588,-5.384313,5
0.177279,-0.761,1
0.281467,-3.89525,5
0.24623,-4.563,5
0.252219,-5.318812,5
0.186717,-3.862437,5
0.109205,-0.515938,1
0.220057,-4.01325,5
0.309695,-4.823563,5
0.162799,-1.331438,1
0.132428,-0.587313,1
0.251352,-5.249937,5
0.108473,-0.729437,1
0.273268,-5.4265,5
0.258562,-5.045687,5
0.159729,-0.617563,1
0.302859,-5.697563,5
0.10001,-0.54025,1
0.112428,-0.650312,1
0.217945,-3.825375,5
0.303461,-5.1415,5
0.168717,-1.07825,1
0.145506,-0.499437,1
0.285645,-4.801812,5
0.144229,-0.453125,1
0.09958,-0.465313,1
0.130854,-0.681625,1
0.301162,-5.28175,5
0.383773,-6.212438,5
0.338316,-5.011375,5
0.159643,-4.055,5
0.218223,-3.490438,5
0.094498,-0.5005,1
0.076215,-0.8195,1
0.179111,-0.888938,1
0.399414,-5.231875,5
0.367596,-5.890562,5
0.180629,-0.571438,1
0.110154,-0.431563,1
0.102055,-0.46125,1
0.088184,-0.51125,1
0.219586,-4.20025,5
0.092719,-0.50975,1
0.138449,-0.564438,1
0.293658,-4.881,5
0.122031,-0.36325,1
0.184918,-1.406,1
0.247797,-4.318812,5
0.285945,-5.589062,5
0.152795,-0.351375,1
0.179744,-0.610938,1
0.395539,-4.077875,5
0.329211,-5.073563,5
0.237768,-4.420438,5
0.237768,-4.651438,5
0.129775,-0.774438,1
0.285635,-5.014062,5
0.109539,-0.209313,1
0.181619,-3.980125,5
0.347594,-5.324312,5
0.289055,-3.669375,1
0.129967,-0.661438,1
0.219992,-4.370687,5
0.302359,-4.514062,5
0.369375,-4.548063,5
0.254195,-4.543437,5
0.120973,-1.23825,1
0.273188,-5.014437,5
0.294234,-5.510375,5
0.16407,-0.990938,1
0.198227,-0.455937,1
0.112479,-0.70775,1
0.111463,-0.525625,1
0.162592,-0.771188,1
0.263225,-5.488313,5
0.126211,-0.262688,1
0.110131,-0.261437,1
0.283838,-4.0355,5
0.35208,-4.6825,5
0.090832,-0.413625,1
0.155473,-1.14625,1
0.15592,-0.804063,1
0.092617,-0.48525,1
0.10375,-0.303438,1
0.076641,-0.559,1
0.306145,-5.248563,5
0.303645,-5.527188,5
0.114482,-0.395875,1
0.146426,-1.627563,1
0.159373,-3.338687,5
0.164008,-3.708375,5
0.142365,-2.8335,5
0.08285,-0.51425,1
0.097117,-0.276313,1
0.088918,-0.41075,1
0.137449,-0.503313,1
0.16909,-1.015813,1
0.309723,-5.466812,5
0.27335,-5.794,5
0.226049,-4.733125,5
0.22367,-1.713625,1
0.179254,-0.304312,1
0.164883,-0.801438,1
0.160416,-1.442562,1
0.263633,-4.334688,5
0.157115,-0.374937,1
0.1085,-1.054,1
0.346064,-6.244125,5
0.272182,-4.525188,5
0.221816,-4.162562,5
0.096857,-0.671,1
0.164531,-1.205563,1
0.220766,-0.85375,1
0.214439,-4.128563,5
0.133678,-0.467938,1
0.168363,-0.983187,1
0.136658,-0.891437,1
0.113367,-0.547625,1
0.116258,-1.134125,1
0.235596,-4.287875,5
0.312576,-5.332438,5
0.207057,-0.99,1
0.231391,-0.624062,1
0.447271,-5.663062,5
0.115699,-0.368563,1
0.269043,-4.744187,5
0.132547,-0.71225,1
0.365988,-5.270187,5
0.312291,-6.014812,5
0.447305,-5.969375,5
0.164996,-2.9005,5
0.17932,-2.390125,5
0.082672,-0.686187,1
0.189219,-0.769625,1
0.413303,-6.158188,5
